paper,section_name,nchar,text,journal
1 aagaard jgrb50217.pdf,introduction,7912,"Introduction [ ] The earthquake cycle, from slow deformation associ- 2 ated with interseismic behavior to rapid deformation asso- ciated with earthquake rupture, spans spatial scales ranging from fractions of a meter associated with the size of con- tact asperities on faults and individual grains to thousands of kilometers associated with plate boundaries. Similarly, temporal scales range from fractions of a second associated with slip at a point during earthquake rupture to thousands of years o",Journal of Geophysical Research
1 aagaard jgrb50217.pdf,numerical.model.of.fault.slip,27557,"Numerical Model of Fault Slip [ ] In this section, we summarize the formulation of 9 the governing equations using the finite-element method. We augment the conventional finite-element formulation for elasticity with a domain decomposition approach [ Smith et al. , 1996; Zienkiewicz et al. , 2005] to implement the fault slip. The PyLith manual [ Aagaard et al. , 2012] provides a step-by-step description of the formulation. [ ] We solve the elasticity equation including inertial 10 terms, 2 @ u Â",Journal of Geophysical Research
1 aagaard jgrb50217.pdf,finite.element.mesh.processing,8579,"Finite-Element Mesh Processing [ ] Like all finite-element engines, PyLith performs 34 operations on cells and vertices comprising the discretized domain (finite-element mesh). These operations include cal- culating cell and face integrals to evaluate weak forms, assemble local cell vectors and matrices into global vector and matrix objects, impose Dirichlet boundary conditions on the algebraic system, and solve the resulting system of non- linear algebraic equations. In PyLith, these operations",Journal of Geophysical Research
1 aagaard jgrb50217.pdf,solver.customization,13027,"Solver Customization 4.1. Quasi-static Simulations [ ] To solve the large, sparse systems of linear equations 41 arising in our quasi-static simulations, we employ precon- ditioned Krylov subspace methods [ Saad , 2003]. We create a sequence of vectors by repeatedly applying the system k matrix to the right-hand-side vector, A b , and they form a basis for a subspace, termed the Krylov space. We can efficiently find an approximate solution in this subspace. Because sparse matrix-vector multiplic",Journal of Geophysical Research
1 aagaard jgrb50217.pdf,performance.benchmark,13166,"Performance Benchmark [ ] We compare the relative performance of the vari- 56 ous preconditioners discussed in section 4.1 for quasi-static problems using a static simulation with three vertical, strike- slip faults. Using multiple, intersecting faults introduces multiple saddle points, so it provides a more thorough test of the preconditioner compared to a single fault with a sin- gle saddle point. Figure 4 shows the geometry of the faults embedded in the domain, and Table 2 gives the parameter",Journal of Geophysical Research
1 aagaard jgrb50217.pdf,code.verification.benchmarks,24716,"Code Verification Benchmarks [ ] In developing PyLith, we verify the numerical imple- 67 mentation of various features using a number of techniques. We employ unit testing to verify correct implementation of nearly all of the individual routines. Having a test for most object methods or functions isolates bugs at their ori- gin during code development and prevents new bugs from occurring as code is modified or optimized. We also rely on full-scale benchmarks to verify that the code properly solv",Journal of Geophysical Research
1 aagaard jgrb50217.pdf,conclusions,1163,Conclusions [ ] PyLith provides a flexible numerical implementation 83 of fault slip using a domain decomposition approach. We have evaluated the efficiency of several preconditioners for use of this fault implementation in quasi-static simulations. We find that algebraic multigrid preconditioners for elas- ticity combined with a custom preconditioner for the fault block associated with the Lagrange multipliers accelerates the convergence of the Krylov solver with the fewest num- ber of iteratio,Journal of Geophysical Research
1 aagaard jgrb50217.pdf,notation,2079,Notation matrix associated with Jacobian operator for the A entire system of equations. fourth-order tensor of elastic constants. C d fault slip vector. body force vector. f l Lagrange multiplier vector corresponding to the fault traction vector. L matrix associated with Jacobian operator for con- straint equation. K matrix associated with Jacobian operator for elastic- ity equation. N matrix for m basis functions. m normal vector. n P preconditioning matrix. preconditioning matrix associated wi,Journal of Geophysical Research
1 aagaard jgrb50217.pdf,references,3888,"References Aagaard, B., S. Kientz, M. Knepley, L. Strand, and C. Williams (2012), PyLith User Manual, Version 1.7.1, Computational Infras- tructure for Geodynamics (CIG), University of California, Davis, [ http://www.geodynamics.org/cig/software/pylith/pylith_ manual -1.7.1. pdf, Last accessed May 6, 2013]. Aagaard, B. T., T. H. Heaton, and J. F. Hall (2001), Dynamic earthquake ruptures in the presence of lithostatic normal stresses: Implications for friction models and heat production, Bull. Se",Journal of Geophysical Research
1 aagaard jgrb50217.pdf,x.other.,1455,"JOURNAL OF GEOPHYSICAL RESEARCH: SOLID EARTH, VOL. 118, 3059Â­3079, doi:10.1002/jgrb.50217, 2013 A domain decomposition approach to implementing fault slip in finite-element models of quasi-static and dynamic crustal deformation 1 2 3 B. T. Aagaard, M. G. Knepley, and C. A. Williams Received 13 September 2012; revised 6 May 2013; accepted 8 May 2013; published 10 June 2013. We employ a domain decomposition approach with Lagrange multipliers to [ ] 1 implement fault slip in a finite-element code,",Journal of Geophysical Research
110 hines jgrb17158.pdf,introduction,1529,"Introduction [ ] The rheologic structure of the lithosphere and upper 2 mantle plays a fundamental role in determining how tectonic plates form [ Braun et al. , 2000], move across the surface of the planet [ Richards et al. , 2001], and are eventually sub- ducted [ Gurnis and Hager , 1988]. Experimental constraints on the viscous behavior of olivine [ Goetze , 1978; Karato et al. ,1986; Hirth and Kohlstedt , 2003; Karato et al. , 2008], and other minerals [ Bystricky and Mackwell , 2001; Mierdel",Journal of Geophysical Research
110 hines jgrb17158.pdf,b05410,1588,"B05410 doi:10.1029/2011JB008978 , 2012 [ ] Because of the various deformational processes, phys- 3 ical conditions, and uncertainties related to compositional effects and rates of deformation, other approaches have been used to independently determine the viscosity structure of the upper mantle in subduction zones or to test the applicability of experimental rheology. These other approaches include analysis of the geoid, both globally and regionally, and instantaneous and time-dependent dynamica",Journal of Geophysical Research
110 hines jgrb17158.pdf,background.and.motivation,13244,"Background and Motivation [ ] We present a brief review of the three different 5 approaches used to determine the viscosity structure of the 1of 15 c(""mantle: laboratory experiments, dynamical models, and geoid"", ""analysis."", ""2.1."", ""Laboratory Constraints on Viscosity"", ""["", ""6"", ""] The rheologic structure of the upper mantle and sub-"", ""duction zones can be predicted from experimentally deter-"", ""mined flow laws and yield strengths of minerals, combined"", ""with information about the temperatu",Journal of Geophysical Research
110 hines jgrb17158.pdf,methods,16965,"Methods [ ] To determine the sensitivity of the geoid to the 19 rheology of an idealized subduction zone, we require a high- resolution 3-D model that can resolve large gradients in viscosity and allows for both poloidal and toroidal flow. Realistic flow is central to the results because the dynamic topography, and therefore the geoid, depend on the velocity and stress at the surface. 3.1. Numerical Methods [ ] We use the regional version of the finite element code 20 CitcomS [ Tan et al. , 2006",Journal of Geophysical Research
