paper,section_name,nchar,text,journal
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,i.ntr.o.duction,14537,"1 I NTR O DUCTION later phases of post-seismic deformation (e.g. Hearn et al. 2009 ), Surface deformation following large, upper crustal continental although some researchers have used distributed creep to describe earthquakes exhibits a rich transient behaviour continuing for up deformation throughout the entire post-seismic period (e.g. Pollitz to a decade (e.g. Ergintav et al. 2009 ;Bell et al. 2010 ), or possi- 2003 ; Freed &amp; BÂ¨urgmann 2004 ; Ryder et al. 2007 ). bly several decades (e.",Geophysical Journal International
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,numerical.models.of,91,"2 NUMERICAL MODELS OF tational tractability; however, we found that the aliasing introduced",Geophysical Journal International
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,post..seismic.deformation,3445,"POST -SEISMIC DEFORMATION in the spatial FFT was small when using the relatively compact Manyi coseismic slip distribution, compared to uniform slip over We only consider the time-dependent response to coseismic stress Ã— an 80 20 km fault. Our RELAX models required just under 55GB perturbations, and do not include cumulative post-seismic effects of memory and took on order 1 d to compute on a circa 2008 com- from any past earthquakes or any reloading process. In this section, putational node, a",Geophysical Journal International
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,c.ompa.rison.o.f.p.ost...seismic,99,3 C OMPA RISON O F P OST - SEISMIC the Maxwell relaxation times (viscosity divided by elastic shear,Geophysical Journal International
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,deformation.models,22872,"DEFORMATION MODELS modulus) scale together in these models. For example, all results shown in this paper would be identical to those from models with It has been argued that the polarity of vertical post-seismic sur- all viscosities increased ten times as long as time is also scaled face deformation (i.e. the pattern of uplift/subsidence surrounding by ten. the fault) can be a discriminant between localized and distributed In Fig. 2 , we show the post-seismic deformation in the heteroge- mechani",Geophysical Journal International
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,d.iscussion,19170,"4 D ISCUSSION Downloaded from  for a linear viscoelastic problem via a Laplace or Fourier transform As these models show, the polarity of vertical deformation is a dis- (e.g. FlÂ¨ugge 1967 ). The Correspondence principle is commonly criminant for the existence of high viscosities immediately below utilized to construct solutions of time-dependent post-seismic and the seismogenic layer, and not localized versus distributed post- interseismic deformation from elastic dislocation models (e.g. seism",Geophysical Journal International
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,a.c.kno.wledgements,1331,"A C KNO WLEDGEMENTS seismic deformation?, Geophys. J. Int., 155, 753Â­777. Hearn, E.H., BÂ¨urgmann, R. &amp; Reilinger, R.E., 2002. Dynamics of Izmit This research was supported by NSF grant EAR-1045372. We thank earthquake postseismic deformation and loading of the DÂ¨uzce earthquake S. Barbot for crucial feedback and help in developing RELAX hypocenter, Bull. seism. Soc. Am., 92, 172Â­193. models, and F. Pollitz for assistance using VISCO1D. RELAX is Hearn, E.H., McClusky, S., Ergintav, S. &am",Geophysical Journal International
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,references,2682,"REFERENCES Hetland, E.A. &amp; Simons, M., 2010. Postseismic and interseismic deforma- tion due to fault creep II: transient creep and interseismic stress shadows Ashby, M.F., 1972. Boundary defects, and atomistic aspects of boundary on megathrusts, Geophys. J. Int., 181, 99Â­112. sliding and diffusional creep, Surface Sci., 31, 498Â­542. Hines, T.T. &amp; Hetland, E.A., 2013. Bias in estimates of lithosphere viscosity Barbot, S., 2012. Relax: Nonlinear Postseismic Relaxation in the Fourier from",Geophysical Journal International
109 Geophys. J. Int.-2014-Hetland-gji-ggu127.pdf,x.other.,214,"the fault. Key words: Transient deformation; Dynamics and mechanics of faulting; Mechanics, theory, and modelling; Rheology: crust and lithosphere. and/or upper mantle creep is then appealed to in order to describe",Geophysical Journal International
111 hoinnk 9caa68591e024b88007ee62f35897ff0ab8c6b384d810e5270b22a44b2dc351c.pdf,i.ntr.o.duction,15243,"1 I NTR O DUCTION tem: water extraction at mid-ocean ridges during mantle melting The role the asthenosphere plays in the Earth's mantle convection can result in a viscosity jump of 2Â­3 orders of magnitude from system and, by association, plate tectonics is a fundamental geody- the asthenosphere to the newly formed, and dehydrated, lithosphere namic question. Seismological evidence has long suggested that a (Hirth &amp; Kohlstedt 1996). Although water and melt may play a sublithospheric channel",Geophysical Journal International
